Source.IP,Destination.IP,Source.Port,Destination.Port,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Flow.Bytes.s,ProtocolName
192.168.180.18,10.200.7.5,50174,3128,350521,24,114,68575.0639761954,GOOGLE
10.200.7.195,179.1.4.217,48075,443,330401,27,22,17578.6392898327,GOOGLE
10.200.7.195,179.1.4.210,59232,443,843547,16,11,3191.28631836756,GOOGLE
10.200.7.5,192.168.180.18,3128,50174,25,2,0,480000.0,HTTP
192.168.60.81,10.200.7.5,52919,3128,102915,3,5,37156.8770344459,HTTP_PROXY
192.168.151.9,10.200.7.6,50348,3128,531902,8,27,6570.75927520483,HTTP_CONNECT
10.200.7.6,192.168.151.9,3128,50348,2,2,0,6000000.0,HTTP
10.200.7.196,104.91.157.235,57222,443,528801,8,5,3214.81994171721,SSL
10.200.7.196,104.91.131.115,54467,443,57088,9,7,89878.783632287,SSL
10.200.7.196,104.91.165.106,39371,443,56431,6,3,12758.9445517535,SSL
10.200.7.196,96.7.4.174,33807,443,101503,10,7,50678.3050747269,SSL
10.200.7.196,8.43.72.22,40014,443,275329,8,5,12000.1888649579,SSL
10.200.7.196,98.138.81.72,41376,443,819672,11,10,4093.1006548961,YAHOO
10.200.7.218,104.91.149.153,43312,443,553378,16,16,18444.8966167791,MICROSOFT
192.168.180.6,10.200.7.9,60932,3128,627545,9,55,47848.3614720857,YOUTUBE
10.200.7.9,192.168.180.6,3128,60932,24,2,0,500000.0,HTTP
192.168.220.107,10.200.7.5,55055,3128,2560608,8,38,6629.28491983154,GOOGLE
10.200.7.195,179.1.4.245,35131,443,2545903,10,6,1793.86253129047,GOOGLE
10.200.7.195,216.58.222.74,54930,443,7279399,16,13,279.143923832174,GOOGLE
10.200.7.5,192.168.220.107,3128,55054,163,2,0,73619.6319018405,HTTP
10.200.7.195,179.1.4.244,56799,443,7537380,14,10,314.698210784119,SSL
192.168.10.20,10.200.7.6,2784,3128,7316250,8,32,943.106099436187,GOOGLE
10.200.7.196,64.233.186.189,45970,443,7308155,9,7,506.557400602478,GOOGLE
10.200.7.6,192.168.10.20,3128,2784,101,2,0,118811.881188119,HTTP
10.200.7.196,162.208.22.39,46342,443,738792,6,5,1648.63723483741,SSL
10.200.7.196,179.1.4.223,55031,443,12025124,17,22,519.994637893131,SSL
10.200.7.196,179.1.4.237,41359,443,4036683,58,51,21045.497008311,SSL
10.200.7.196,179.1.4.238,47006,443,7299274,16,11,451.825756917743,GOOGLE
10.200.7.196,179.1.4.245,46644,443,1011969,69,60,74208.7949334416,GOOGLE
10.200.7.196,172.217.30.13,60086,443,9396529,20,16,765.708273767899,GOOGLE
10.200.7.196,216.58.222.101,32862,443,10293050,63,112,15142.8391001695,GOOGLE
192.168.151.8,10.200.7.4,54611,3128,5520888,11,39,1523.48680139862,HTTP_CONNECT
10.200.7.194,204.79.197.200,40055,443,4424332,6,5,389.437320707397,MICROSOFT
10.200.7.199,179.1.4.204,35733,443,5098789,11,8,941.596131944272,YOUTUBE
10.200.7.194,216.58.222.66,44724,443,4723434,9,5,362.024747249565,GOOGLE
10.200.7.194,68.67.180.12,60557,80,188714,4,3,10836.5039159787,HTTP
10.200.7.194,91.216.63.241,54796,80,160933,4,2,8177.31602592383,HTTP
10.200.7.217,137.116.74.190,56776,443,3221445,23,17,8642.08453038931,MICROSOFT
192.168.130.67,10.200.7.5,12145,3128,336218,4,10,719.771100892873,GOOGLE
10.200.7.5,192.168.130.67,3128,12145,63,5,0,2571428.57142857,HTTP
10.200.7.194,91.216.63.240,53261,80,5444048,4,4,172.481947256894,HTTP
10.200.7.199,216.58.222.238,45233,443,5098213,6,6,182.809152932606,GOOGLE
192.168.42.25,10.200.7.6,54973,3128,7495165,12,55,731.671684345842,YOUTUBE
10.200.7.6,192.168.42.25,3128,54973,1,2,0,12000000.0,HTTP
192.168.130.61,10.200.7.4,50926,3128,46707,3,16,37510.4374076691,HTTP_PROXY
10.200.7.4,192.168.130.61,3128,50926,1,2,0,12000000.0,HTTP
10.200.7.196,74.119.118.71,39621,443,1963610,8,6,2345.67964106926,SSL
10.200.7.217,74.119.118.71,59454,80,11675333,31,54,7711.4716984946,HTTP
179.1.4.216,10.200.7.217,443,52229,723,2,5,174273.858921162,SSL
10.200.7.217,74.119.118.100,52890,80,9796089,12,11,760.711749352216,HTTP
10.200.7.195,204.13.192.177,44402,443,10621246,7,10,708.485614587968,SSL
192.168.32.8,10.200.7.5,55249,3128,10649256,7,64,2856.34977692338,HTTP_CONNECT
10.200.7.5,192.168.32.8,3128,55249,1,2,0,12000000.0,HTTP
10.200.7.194,179.1.4.217,44873,443,418773,11,6,3952.02173970146,YOUTUBE
108.174.10.19,10.200.7.218,443,37335,701,2,4,88445.0784593438,SSL
10.200.7.217,74.119.118.78,52956,80,10460996,36,44,5728.03966276251,HTTP
192.168.10.23,10.200.7.5,50560,3128,7325840,15,87,2915.02407914997,GOOGLE
10.200.7.5,192.168.10.23,3128,50560,32,2,0,375000.0,HTTP
74.119.118.100,10.200.7.217,80,52759,14690084,25,13,1491.14191586651,HTTP
10.200.7.195,68.67.178.173,39258,443,10975418,14,16,1092.53242108865,SSL
192.168.72.88,10.200.7.4,57383,3128,10128538,13,15,223.724292686664,GOOGLE
10.200.7.194,172.217.29.42,42878,443,10127043,12,11,187.616464154443,GOOGLE
10.200.7.195,68.67.178.199,38622,443,10436376,8,8,435.208543655384,SSL
10.200.7.199,162.208.22.34,33423,80,5260679,4,4,240.463255788844,HTTP
10.200.7.217,13.107.42.11,42165,443,5291316,26,45,8332.33169215371,SSL
10.200.7.217,91.216.63.244,53340,443,12524809,22,18,1272.03536596846,SSL
10.200.7.217,216.58.202.226,43971,443,12679082,23,18,304.438444360562,GOOGLE
10.200.7.196,74.119.118.66,33612,443,3024777,10,8,1820.96068569683,SSL
65.52.108.76,10.200.7.217,443,58632,745,2,3,1473825.5033557,SSL
10.200.7.196,23.9.53.64,38645,443,1229286,20,22,43127.4739971008,SSL
10.200.7.217,216.58.222.66,36705,443,14232625,80,72,3012.86656537357,GOOGLE
10.200.7.217,179.1.4.205,58480,443,1187048,257,288,507448.729958687,YOUTUBE
192.168.90.88,10.200.7.5,51194,3128,4907,6,42,12921133.0751987,HTTP_PROXY
10.200.7.5,192.168.90.88,3128,51196,26,2,0,461538.461538462,HTTP_PROXY
10.200.7.199,216.58.222.232,46538,443,57310,9,8,83545.6290350724,GOOGLE
10.200.7.195,190.90.221.18,43476,80,78927,4,2,2838.06555424633,HTTP
10.200.7.199,179.1.4.208,54265,443,1022524,51,34,59655.3234936295,YOUTUBE
192.168.60.32,10.200.7.6,51705,3128,11404,3,4,39810.5927744651,HTTP_PROXY
10.200.7.217,65.52.108.103,44553,443,2805137,29,38,21954.7209280688,MSN
10.200.7.194,179.1.4.204,39701,443,2274524,9,4,1969.2032266971,YOUTUBE
192.168.32.70,10.200.7.8,60499,3128,15129992,13,31,535.955339566604,HTTP_CONNECT
10.200.7.8,192.168.32.70,3128,60499,167,4,0,443113.77245509,HTTP
10.200.7.199,64.233.190.189,56004,443,3383257,33,40,13060.787282787,GOOGLE
10.200.7.218,204.13.192.211,33157,443,10513578,16,17,1174.10076759786,SSL
192.168.205.131,10.200.7.6,54040,3128,481039,21,17,62870.1622945333,GOOGLE
10.230.1.162,10.200.7.7,57823,3128,2625680,23,0,1041.25407513482,MICROSOFT
10.200.7.217,40.117.145.132,45966,443,2165782,20,15,6917.13201051629,MICROSOFT
10.200.7.194,74.119.117.78,40192,443,605067,7,5,8205.70283952025,SSL
10.200.7.194,172.217.29.65,56740,443,712099,9,6,6538.41670891266,GOOGLE
10.200.7.194,178.255.83.1,40215,80,205981,4,5,5981.13418227895,HTTP
216.58.202.225,10.200.7.194,443,40258,3135887,7,8,1624.42077791706,YOUTUBE
10.200.7.218,68.67.180.44,44189,443,10393145,19,18,1294.79575239256,SSL
192.168.60.68,10.200.7.9,54526,3128,4273411,9,9,1115.97035716902,HTTP_CONNECT
10.200.7.199,65.52.108.76,35129,443,4271708,12,4,822.621770963746,SSL
10.200.7.194,216.58.202.230,35349,443,1811375,14,12,3018.70126285281,GOOGLE
10.200.7.218,68.67.178.243,38283,443,10547067,28,22,1453.10539887535,SSL
192.168.90.49,10.200.7.5,53601,3128,2526090,15,81,12559.3308235257,GOOGLE
10.200.7.5,192.168.90.49,3128,53601,1,2,0,12000000.0,HTTP
10.200.7.196,93.184.215.201,48641,443,4281036,2,4,46.4840753499854,SSL
10.200.7.195,98.139.225.43,45672,443,16027184,9,10,428.584335214471,YAHOO
10.200.7.196,72.30.2.182,51569,443,5898698,10,12,1269.43267819441,YAHOO
10.200.7.199,131.253.61.96,57251,443,560378,12,7,14932.7775180325,SSL
192.168.180.67,10.200.7.9,54356,3128,564752,10,58,34714.3524945463,HTTP_CONNECT
10.200.7.9,192.168.180.67,3128,54356,408,2,0,1463235.29411765,HTTP
10.200.7.217,74.119.118.66,56048,80,15033361,29,34,1975.93871390436,HTTP
10.230.1.90,10.200.7.5,50978,3128,42672,3,4,10662.7296587927,HTTP_PROXY
10.200.7.195,72.30.3.43,35683,443,16066156,10,9,508.397901775633,YAHOO
10.200.7.218,179.1.4.217,59956,443,3857428,35,30,3536.03489164283,GOOGLE
